unique_hash,new,drug
9e9a8166b84114aca147bf409f6f956635034c08,-0.16666666666666666,33
e747e6822c867571afe7b907b51f0f2ca67b0e1a,-0.15885416666666666,33
50b6d851bcff4f35afe354937949e9948975adf7,-0.04829545454545452,39
7f82ec2176ae6ab0b5d20b5ffc767ac829f384ae,-0.011616161616161616,81
8b37d169dee5bdae27060949242fb54feb6a7f7f,0.10162753912753912,78
b1950d27d94ceff4e9bf8c7d1fd4b11b35ede4d7,0.13636363636363635,78
abafc5b6c5aac6f777cf265e5c7dd80fb793e6bc,0.06911931818181816,57
e5550693e72a8335d723ca5fc64da91e1256fb0b,0.13011363636363635,81
ee8c500f6402331ff12b0b29d943b6d1699a0b8d,0.19285714285714284,36
d261600ba4fc022fac12748845deed56822ff195,-0.024166666666666666,45
ed1836e3e3597568a9b3d58dcfe8ed7143bba4bd,0.024696969696969703,92
4b63c92b430a34abdc659a2ceee6fb353a759502,0.11576278659611994,82
c046fc70caab19d74271855afa4b0fce56eed65d,0.14583333333333331,6
7e6cd0d963891627f809b8b3430817dc08a4671e,0.09404761904761905,39
c1db106d5edc8db4a139acd3532e137903b88dfe,-0.11867283950617284,32
58bb0752dd7b4835195f27c975bf4ec27dbf5d06,0.07954545454545454,45
17158941d16c145b692b65acdc0098d7cde98fd1,0.05833333333333334,33
245536722a649761b30a740031040a937d8b3e0e,-0.053686313686313714,36
a62ee194c75afeb7527adc2ac3fc1bf4861b818d,0.14047049441786286,81
3b792ab6f0d8cbd690fffd1361c23b6638d47219,0.1624446532999164,33
08837b701a4b7c06272d2205ba3a0a2bb9fc8435,0.190625,72
4c8c81babeb983eb8b420a0f6d49b7eb0e230c8b,-0.043236331569664915,29
8019e9a28546fa0e1887844aa8479301e2750986,0.12853651065915214,19
fc74b89e8dd0cc22ab96dad95a488358230fe3f3,0.0,19
165f60e24b14b3b0ee19e4334701fbee7a06cc1f,-0.06770833333333333,57
f1fd1bed04c41117a2c51af38463a6cdfe483325,0.037935337935337946,2
20144ae5f449aa112467d7622d484c7d2fcbc622,0.0,36
a1ceb5f6d0b925186d194bdd155f27c6ab16a217,0.1,36
cc2872fbb66ec3d00e2bc894571246a645055429,-0.1214657738095238,59
4c327cd2d678ff430a4489d1b43698d60d73abcf,-0.15000000000000002,56
d30fd3c831a24117a682952da7cb1c399939dd40,0.10788668677294266,91
edbb041453b0baf7669b84be96410e6dd15fb66f,0.20411255411255413,36
d0e127881155aa53acef8e216c822e62e0f23ccb,-0.10555555555555557,33
18fe87a3362bca743bc09883e03e1089ac3b3ec8,-0.02407835958367872,56
585ea21f3a35ec48116896fe1bfb92c25781b23c,0.18374819624819624,36
b3cf4581b33a7e206acdff72c2c77b27e8cdc33c,-0.18589466089466086,78
344a0cc6ce9512477f12b12e76c6de4507c3f04f,0.06659090909090909,32
c16be36202e17206de839c931129dbe40a4f529f,0.018693181818181817,39
813d5b345b2685a463e4c00086d00b4a672caa06,0.09538819875776398,94
a57be78d0945f27bc9159248257858cc688ad11b,0.3305555555555556,45
58a5baf5f461103884a1141888ad56400f2df58b,0.15416666666666665,49
56ed97f7019c1ec018324583246f29460b072d6c,0.10703362253992485,13
5beab429a30a4cbc991b4bd412822fc6827599b4,0.08333333333333333,36
e4b8a2c8442578be126011fb53ec578b401c5195,0.8,3
c7369703388907de3d1d82785c3fcff8256f8489,0.020833333333333332,29
b884cc944d61e8db860dfca3d86a2ceb0ed6f268,0.2558661616161616,56
7135d48357262833e88cb7269060da06660cbe08,0.25,45
829c65349a038fe232d6fd7941938f2cdd047b0d,0.17939393939393938,59
824c13804d418d57411779a56222cc4e89905530,0.14316091954022991,39
a897b32296fbaef1a724f68c994dddd23d7bee9e,0.2866666666666667,36
30301a9ca29c475aecdc18387a1340fe146c6f73,-0.16666666666666666,32
45ee6b6b435f516c0804fcd5b0248f34b7398332,0.0,33
815303b3e560d6d0cd80daa21cf8fff7b9302f15,0.1306443055691176,66
e5116f79e2e53601a67861344ffb375d23bccaba,0.043939393939393945,81
6cff04f207455085cdce32ed6adbd3c95616bb04,0.08252976190476191,39
cc76da01f73bee28857459b0e65f264f251c2589,0.3821428571428571,81
f2b6244caed5d155837531a631b870f4efbdb3a2,0.14151785714285714,56
20707566e9c06d46685ff47a6ab8d949eb1320f1,-0.3,36
2f962ceb02a1a430f7d54162038825c521aafe72,0.176,59
f31bced85927c581c8c9a1afd1371f603ff2b3a9,0.06280149984695439,36
5223cdaa8d259f7232db72bd5b91a708567ed855,0.034523809523809526,36
f10cb2c088b1db3bfc3414f9f5b9ae2878d125a8,0.05209956709956709,45
d775cdbdcbc51f809f282af380f80f6dbaa7b79c,0.16666666666666666,29
26ce87fab24538e6b0c46e1a8172ef047cbb4564,0.10238095238095239,45
