unique_hash,new,drug,sentiment
2e180be4c9214c1f5ab51fd8cc32bc80c9f612e0,0.22916666666666666,38,2
9eba8f80e7e20f3a2f48685530748fbfa95943e4,0.2876249999999999,38,2
fe809672251f6bd0d986e00380f48d047c7e7b76,0.18239105339105338,35,2
bd22104dfa9ec80db4099523e03fae7a52735eb6,0.575,64,2
b227688381f9b25e5b65109dd00f7f895e838249,0.2281818181818182,38,1
a043780c757966243779bf3c0d11bf6eef721971,0.0,20,2
be5a13376933a7f9bbf8e801c31691092f63260a,0.2,43,0
08c3c0c702fc97d290204b37798ac62005da5626,0.18766233766233767,38,2
8fd3d7ad80791c9343e5cf8a83bd1adf6577d516,-0.36333333333333334,35,1
793c5af7cc8332df17eb602247d886fbd1c80f89,-0.0025000000000000022,88,2
127a56fe52ebb4ac4bd7c44882b38c90b309b0d1,0.08801470588235294,55,1
c012af0fb7ffdbd0cf26564666f344f136bde78f,0.266005291005291,69,2
9e7ba64f3370ad7b6214677051ad542c45a667bb,0.13449197860962567,35,2
497b861718dcea8618daa71fff8ccdeff2e5b161,0.051984173234173245,38,2
4448be865036bcb6154ca03a3b101ea3a9ba4dac,-0.025694444444444426,88,2
aa8baf1777c68498006a91e2dde76cea8d481f23,0.026015064619079237,43,2
abbe2c5ec2d09c903eea188d56dd1f0ccfa2be5c,0.18375,80,2
fb054b0af1d68a71577430858e6dbe4162d269b3,0.19211760461760463,86,2
81d3b59febf33f7099315d8a06402a84a4083113,0.1960227272727273,63,2
ac44c2e8ed91882149e8341b294b5e5d14bfb6b2,0.171780303030303,64,2
174806d157718c27217a1dc6ee66f0388a58710b,0.10888888888888888,27,1
e2d087ceb1887c03c15b17c326b6b7b8d19863a7,0.2928571428571428,73,2
e878e1f60c8ce278ef78e92ff30264e734b08217,0.2549019607843137,19,2
d45117196c74590e2e8b80705df478f9d9cdfbf9,0.28311688311688316,89,2
68ea2ec060a4a59e6c28e0ba49ac9f1e7a2f930f,0.03977272727272727,89,2
029b7632b8a7c09b908a57a14c98f74a944fc5ca,0.02202380952380952,38,2
16c0970609b9bea8bbb533adf2c61c897424031b,0.19166666666666668,38,1
906db737204ead11986d1492af6f004e16a006e3,-0.06194444444444445,63,2
e8f39b50683bb1b94689e8e462bdcd1aff331ee1,0.14096370402590513,63,0
c2df2a0e70805bb1a17305e2ac137aeae26d424a,0.7,35,0
e5519a9c109f5b290071029d3b4a6d8f5150b793,-0.22499999999999998,89,1
fd4eaf7403ad9512359fefb76ffcad942f94f43b,0.21904761904761902,38,2
50b51148821b2d0eb23380ca8417b1d9fefd37af,-0.16666666666666666,61,1
37fb60022cee769a53f20d1b79cd0591848ac47e,0.16024720893141947,80,2
603c2f1612eeabcaac016b6da0df4117b6a8ccd8,0.17047258297258297,90,0
9adb8389cc29475816af775034cb5c6a38b9f1da,0.23750000000000002,43,2
09b1aa5593f4b0125afd61428eb67f511044bc37,0.23214285714285712,38,2
b35871fb622dd1d2e407f0d13c7da48634e820ca,0.1,47,2
5eca9f0458bac17bf89188de1b9a61fcea05e7ce,-0.25,58,1
f4a2decbd96a9004cb37c5a1f8480163bcb9651a,0.12985429204941398,63,2
1075712b084410fd478a6dd317ebb0cc9f765ac1,0.13636363636363635,66,2
4c8270dc72a743364800c16a4893058d81ccf780,0.057083250083250096,38,2
918b3d83f17c334962f30974f2ff1f16630eebf0,0.55,28,0
00c582761f1e6ed49bd8f30b4e5219be3a270537,0.001570221162057905,43,2
df2c96ef09888a2e46017c2e19944f575bf84a75,0.5900000000000001,33,2
8d0fb3f57eac11cab3d354a92352153d0463844e,0.14115646258503403,32,2
9fed0da9252bd1785bea33c1911ced74a428a276,0.07695497543982394,3,2
918f23f517e067135b5c3d428b0c45e198ab145b,0.15854978354978352,31,2
95974e24ade4d14b610ee14be5d17c8a2db4b77f,0.11282631509904235,38,2
aa1a2e0fed710ecc0eb5c3bd290c0715d853487b,0.18264784946236556,61,2
5bc3967bde4af450eec642bec46b5d444b2c0b5d,0.057702464202464214,35,2
2f54751a86172302005d05e691c3968e9b7509ab,0.19626623376623378,43,2
126774fa5e054498eac9d98f931fb22162d3ad5d,0.0,64,2
f6f2c2cba69451cbdb3bebaaf1b487456986f26f,0.19226190476190474,80,2
a393f1643ae20f5c8f187b8f62d6d8661a499aa2,0.006187647579693035,27,2
3457bfa472caa85815382ac565e03874cb2ca4db,0.1929398148148148,88,1
f02cec99865fafa786eb8545bb0ac18d047dc7ba,0.15809546091163734,35,2
87203b7645637adf1b06949b180f2a4337b23a20,-0.19382891414141412,38,2
c812832bf786dcc8fc0a27b76616a231cc4c4690,0.09192708333333333,38,2
4fd1ef528a2c8b65dc3b23f2b96c7d8d68484166,0.09714285714285713,64,1
92b34902563dbaa5352fad47791aa23daafde08b,0.5,20,0
da2447ef4e1d922e683e8c712465cf9edd04e3c6,-0.25,64,2
a5205bac262e3e70e5e2b12ad99d18cf7405b17d,-0.010576923076923076,19,2
5464b1ed8ae3bb6cf2a50ce92b997af10ff374a5,0.14730113636363637,88,0
ac32b84c47bf6a892e4ad3a72cc50b623ac91adf,0.14230769230769233,38,2
399a081e5fd55dae74f3853371bca69f24749f76,0.00857808857808857,21,1
2070a12b0ad4b6f97f238db696fde28f3e6918aa,0.125,43,2
9a89b2b66e44c5ce40e9d4c100a9019d099f8932,0.14375,66,2
d6fbcc31e20c1e69f113dc755a0059eecab49f30,0.0007920110192837479,80,1
35b88730fa2f24692b01d032ccdbefbda9cf6be0,0.10961772486772486,89,2
85f32d77777ad9c5e6983a31461817e1dbfe25a9,0.20396233120113713,38,2
6de8cb636fc8b35a940dc97fdddccdf391f22550,-0.02181372549019608,51,2
ac8313eecf6efa01601d2016d1abade39ba5cf32,0.08488906926406926,31,2
7c900aa8b7a2530b22ed4df30922ec527d6f8637,-0.13955357142857142,38,1
3a7355a4a4983c0481fb39111b18898ae19c28df,0.25,38,1
358e2b9747c7ddc7e14f181bdafffd984a07f92f,-0.008333333333333338,57,0
3dc7ac682bc2f5b87c211c50d8595a8a69ae5ec6,0.002777777777777777,43,2
fd07fdfd6463392475fa70912d0aeaee743c80b9,0.07407407407407407,66,0
084403ef1ef1d42684e701cb1fd08a531f095ff9,0.10805890538033396,67,2
827cb1f8f33869f611870ce6f81103b0354eac2a,0.3714285714285714,63,2
b43108d6ea9f7676f27b0e9f05e7fe086cb94ee5,0.03676470588235294,43,2
6c41989a94c48fc097f5412d81433017d6d58eed,-0.037500000000000006,38,1
326808ed5f6b660ea9a4de39010664ac8ccbcf1c,0.0,38,2
9af78e09d3646558f4827cb54568b1187a951a66,0.0619047619047619,55,2
7da1487d72965dbbc3f7cdccca2e4622d8e35f94,-0.04,64,2
27b21bc21dd88dacf28adcdaaedd21be01b2b742,0.07355283605283604,97,1
bd158d75fc4358c1689464f2fd08167ba07acb46,0.2862745098039216,35,2
7cafe0a71be5ce964c4f1326068be7092b876cef,-0.025,64,0
af3146ca66f2af1ead3dc87099524f5d0c149fcb,0.09537337662337662,11,0
1b92824a8b91b0add73c481c538d8651dcfff3d8,-0.03125,38,1
1798110f69acea9a92714a5761a29fd0c3d277fe,0.174512987012987,35,2
14480e8095b13d9a3fdd1e7d966bbd548bc563b3,0.17142857142857143,38,2
