id,cc_cons
6975,2258.564904
43223,7548.868583
45502,1908.889193
12368,2269.664257
40415,5560.93316
31659,3754.078357
19585,2443.05459
11889,2564.198454
43494,4475.624797
2536,1763.737003
16896,2002.866951
23422,4865.845596
31074,4130.631143
32409,5339.994028
29846,912.2812872
4046,5234.423566
41350,1214.165638
24530,2493.398625
20128,1703.490472
25389,3593.304591
8913,10085.86884
41126,1416.92283
19678,4220.18426
1907,3165.894176
22003,3835.635911
1177,1328.96923
13941,2189.447326
19473,2243.177765
42500,2673.249092
3878,2832.243587
8973,3017.314975
9938,3143.215074
38581,1053.895171
41728,3604.688008
42180,1936.465583
23022,1552.536866
29322,4312.443759
38371,3612.092307
14582,4657.184261
37012,1827.324325
7993,3640.389878
32720,2267.776513
46172,9038.216906
2646,8738.200702
12238,3708.389222
17793,3520.141461
1661,3846.566179
30028,1668.878898
38142,2838.177239
21187,1313.363947
32066,2091.434433
39689,3079.386831
44715,6399.792485
766,1754.767856
38216,2525.632483
10622,9556.031181
42913,5483.660186
18904,3925.782092
19555,1219.705252
24285,2518.185087
13852,4531.645244
22599,12910.01827
18045,2348.935758
33600,2020.242703
18103,11745.08226
7314,6032.347301
26516,6697.972535
46770,1129.586375
9126,4170.104718
46819,3246.759821
10517,2638.352533
45647,2347.635745
26740,3225.506254
42782,1998.877075
12493,2492.096899
27311,3346.493439
11428,2566.609796
24193,4043.320887
22723,1833.269189
14362,1972.322898
17572,6702.952299
26477,11737.87795
21283,2227.073173
7599,3139.707836
33989,1886.924604
14945,1665.569044
18531,3233.906545
34513,3066.952437
12426,2921.930643
41416,1977.504816
31245,3692.176246
980,2029.766137
7462,1733.685608
26616,4261.476311
1197,10893.60402
11644,9146.229028
8146,2736.37955
29429,1154.723764
24599,1765.096151
30209,812.7168444
11455,3457.442174
27200,1340.491167
2399,1694.070129
45233,4310.956356
10849,1816.285295
115,2078.559607
31237,1527.517015
21669,6408.969978
9174,3162.205458
27083,1273.392918
7213,4787.899294
28851,3308.710773
42749,3916.32341
16742,3464.347926
35267,2788.079337
43984,2122.965734
7010,11441.30858
14426,958.4948954
19816,1969.366756
39466,1945.907142
18829,2808.655716
14473,4233.126495
46767,5003.327613
45144,1931.323413
44345,27070.37486
11714,3655.433346
13403,2707.918965
31814,2091.737263
43508,4109.175127
23906,2976.272935
2811,2523.841975
40103,6932.980529
18600,5276.209578
4014,4201.299029
13951,3212.743365
15102,1898.076105
32381,8248.115071
3813,9057.220108
28707,4120.736011
349,3031.586137
12470,4198.567045
19094,3801.728253
7929,7450.493417
46048,3315.843748
17261,9294.845062
46725,8980.863996
43947,5410.423147
17002,3644.103545
17779,2847.682562
42113,3835.156028
35665,1216.157939
18909,1481.311024
20179,1881.961211
11405,4470.442138
33245,2638.394032
18703,1885.640922
27819,2515.453652
45040,6250.625016
43672,3046.984116
7487,6339.44164
23293,4502.183815
9722,4073.578552
19191,3588.488088
33640,1539.50653
15760,1223.73816
3239,1368.172714
7870,3073.851098
6688,2157.213547
43489,2879.236414
44820,4898.621145
39063,2323.926545
2786,1457.026041
32090,2944.425608
29498,8777.975324
9932,8843.96569
1603,4412.037343
16911,1925.833581
42880,1767.323917
35345,2521.47455
5669,3956.047299
540,2959.552494
15257,4731.354596
46065,1258.99988
35233,3073.815849
39124,2174.263652
3078,1043.769197
11166,1296.901451
23888,3936.760885
1764,784.0048359
32624,1913.388087
40688,1314.947169
43431,2467.490848
36001,2177.924744
46485,3542.779258
22511,1519.532897
43122,1679.662584
26286,2669.432812
42183,1953.365132
38290,2549.523777
19009,1823.189048
16891,1358.690801
40752,2565.716112
24661,3478.799793
35672,2385.854733
26540,4943.67257
46267,2539.660996
6241,1324.819902
9430,2244.714564
9346,1596.845788
14187,2891.900023
43717,1287.78672
33800,2967.950684
13659,1107.947111
34065,1777.18133
20311,914.305062
14862,13927.06988
32534,1761.181424
45483,1805.620884
17060,1987.27165
22610,1267.730148
5730,8279.040253
11618,3569.890195
32612,1678.96599
37501,3810.417456
20402,5822.375665
25172,6335.397801
29751,3416.562812
28110,4499.706785
9414,1125.114632
36448,4042.022239
43249,1745.364959
27037,3688.7056
45457,1862.388535
2730,2476.242465
15069,6382.792983
37020,4307.697541
11641,5656.948258
21182,6845.394849
40538,1468.656303
37459,2740.285901
38762,1942.842068
36698,1549.625077
44287,4725.46466
748,1960.078341
8029,6223.437801
18867,2768.259022
6783,1466.008584
18325,5857.602951
40462,3689.31335
13380,1794.246909
33060,3407.063536
37739,1560.143744
39637,5606.835633
36528,2977.888468
37258,1057.872757
6826,10345.2739
25874,1183.928102
34733,1814.682437
585,1519.638996
11908,3359.236472
25725,1344.073147
11540,3065.245564
46396,2371.893363
28322,3159.705784
18382,4516.172464
9507,9324.413993
10942,1595.637809
31220,1602.309215
1190,1396.95091
13723,2203.096705
28899,2119.101426
44063,5701.337236
35700,2471.167356
24170,1974.027491
1609,5484.097728
17549,2862.287416
46749,2961.476291
33920,1592.652656
36734,1638.506496
45250,1218.2372
30114,2081.839098
36979,5221.368735
36199,4482.730159
15539,3341.550538
6082,3700.257912
15586,2880.509471
17325,2081.909765
32459,8379.903903
8808,4608.658663
32429,2947.897394
26739,3312.306824
32641,1977.384546
12104,6225.391503
5986,6514.478692
39650,4387.627125
40848,2980.332655
12472,1174.793147
20762,4059.236874
39422,1302.997163
14822,2650.239148
37142,3011.687266
3205,6192.129593
21640,4190.121291
2234,1174.671988
23606,3184.356003
17423,2715.425284
40828,4398.725716
33985,2008.127776
45721,1068.120053
40436,2850.611307
15813,3294.47561
14092,7018.075698
30509,8243.377547
34050,1913.657748
21741,4129.722415
36527,2298.140777
8854,4480.413052
10859,8248.614324
706,1392.520452
43976,3534.682934
43978,4978.267688
7322,7853.467683
28071,2174.768498
12528,2246.217232
26871,2428.550376
24476,1370.220238
422,3158.578098
30157,6363.040222
14281,1959.760711
42520,4304.605044
3625,2908.635985
33366,3352.155679
34675,7098.251312
39319,4327.650108
46573,2494.382713
44389,2033.286238
41395,4663.131197
3809,1777.051466
18331,2207.741692
30478,3105.533717
14623,1395.884908
18825,3742.893887
16354,4906.464092
22670,2183.139718
8387,7071.784062
36491,1053.96822
42008,1888.444119
10573,2512.155861
20914,2034.249866
20255,2201.193576
26022,2130.245497
46674,3548.311618
6023,3196.531584
17266,6829.450771
19131,2280.027294
31503,6774.145511
1337,4004.08874
21281,2739.904467
32933,2952.562238
4650,2396.230137
28357,6491.708058
32764,1341.508069
46028,3822.112832
1228,2845.976371
34211,7112.961777
35195,3202.930652
19995,3903.497924
15691,3608.994516
33450,4318.321976
45389,3677.501681
35560,2856.777582
46012,2383.898749
13108,7664.726174
26849,9120.015626
13047,1028.444632
33233,3648.606489
46211,3850.398966
6624,1603.891676
36355,2541.23981
36856,1712.140975
33234,6697.972101
31069,2697.551343
26844,7556.308054
23253,6001.564379
44965,3617.391495
13042,3239.918162
9988,1416.084787
22827,1837.637549
2521,8644.188081
17211,2820.015371
16912,7736.864134
29291,4855.0453
38895,3079.039425
45744,15847.61533
42705,4739.296611
1427,1163.923254
32682,2450.788717
4771,3439.376883
46180,5092.028974
26801,7336.240943
39359,1973.800999
33709,4573.159194
12042,1712.540191
22838,6057.340643
7529,2607.329674
13296,5401.638111
35618,1764.87189
10447,9149.204563
10,1934.531961
45014,4112.441181
25003,2224.085518
16307,1805.984237
17853,2516.616978
7595,1844.938797
3520,1382.853369
44558,3854.551803
46301,2238.418807
22510,2934.457593
40911,1253.932253
42100,3275.99254
2569,4461.714135
7915,5521.438423
32458,3888.184778
23350,1757.368348
24797,1746.147365
46443,4001.290601
26812,2547.906294
9726,1819.47652
3859,2446.325248
36311,3417.471342
4975,2552.29011
5500,2449.13274
21488,4497.17645
27669,6032.988569
1266,4993.859384
27620,5741.665856
6722,2148.945558
40624,2587.08045
32921,6956.692077
8472,1815.141494
40638,2398.886748
4869,7471.292687
14659,2233.083969
24888,2297.384147
44115,2686.5793
10689,2674.009398
39086,4450.832727
16735,2501.128021
23117,2802.844993
45868,2928.16051
9305,5457.563254
32812,1119.109453
39541,1260.865649
16297,2658.238302
2041,6448.882848
45561,2518.314461
992,1807.025086
12797,1306.854623
22251,5695.063831
44026,2330.400767
32438,1774.212478
24423,3482.825331
39098,2201.704077
42837,1897.605815
7900,1698.680972
4487,1597.788452
7575,4806.281156
