video_id,likes,likes
2,6661,3330.5
3,2656,885.3333333
8,4026,503.25
16,507,31.6875
20,17673,883.65
23,6959,302.5652174
24,2699,112.4583333
26,563,21.65384615
35,2210,63.14285714
41,1301,31.73170732
46,1547,33.63043478
48,2304,48
58,21,0.362068966
69,6472,93.79710145
74,734,9.918918919
78,183,2.346153846
79,4128,52.25316456
81,1511,18.65432099
87,22065,253.6206897
91,25718,282.6153846
93,14270,153.4408602
100,2132,21.32
107,518,4.841121495
112,416481,3718.580357
117,1052,8.991452991
130,3617,27.82307692
132,8291,62.81060606
135,5448,40.35555556
137,84,0.613138686
149,41265,276.9463087
150,801,5.34
156,13234,84.83333333
158,9221,58.36075949
159,1434,9.018867925
160,307,1.91875
163,2685,16.47239264
164,11248,68.58536585
170,826,4.858823529
171,6850,40.05847953
172,3681,21.40116279
178,34050,191.2921348
181,4070,22.48618785
187,2161,11.55614973
193,2715,14.06735751
197,6850,34.7715736
198,9857,49.78282828
200,3117,15.585
207,9896,47.80676329
213,7158,33.6056338
215,28394,132.0651163
216,905,4.189814815
218,55202,253.2201835
220,1375,6.25
223,168,0.753363229
224,767,3.424107143
232,392,1.689655172
235,2864,12.18723404
239,1031,4.313807531
241,3867,16.04564315
253,7904,31.24110672
256,14765,57.67578125
258,7239,28.05813953
260,1885,7.25
271,10887,40.17343173
273,757,2.772893773
282,815,2.890070922
283,17,0.060070671
286,345,1.206293706
288,1035,3.59375
289,12251,42.39100346
295,1005,3.406779661
297,20316,68.4040404
302,6798,22.50993377
304,1089,3.582236842
305,2294,7.521311475
306,736,2.405228758
308,456,1.480519481
309,1517,4.909385113
314,47,0.149681529
318,353984,1113.157233
319,2276,7.134796238
320,8,0.025
321,11543,35.95950156
322,10190,31.64596273
323,8470,26.22291022
324,24974,77.08024691
326,10020,30.73619632
328,171,0.521341463
329,3716,11.29483283
332,1332,4.012048193
333,444,1.333333333
336,4514,13.43452381
338,2941,8.701183432
342,2793,8.166666667
347,1530,4.409221902
352,489,1.389204545
356,1010,2.837078652
358,1136,3.173184358
359,815,2.270194986
361,68,0.188365651
363,551,1.517906336
366,6123,16.7295082
367,2825,7.697547684
369,979,2.653116531
371,6860,18.49056604
372,609,1.637096774
378,1144,3.026455026
379,14126,37.27176781
384,1144,2.979166667
391,28344,72.49104859
392,6472,16.51020408
398,617,1.550251256
399,4348,10.89724311
402,3754,9.338308458
405,4087,10.09135802
413,226,0.547215496
415,24880,59.95180723
418,3135,7.5
428,8017,18.73130841
432,3023,6.997685185
434,2827,6.513824885
435,21768,50.04137931
440,2045,4.647727273
441,3402,7.714285714
445,15,0.033707865
446,41165,92.29820628
448,687,1.533482143
449,933,2.077951002
456,16,0.035087719
457,756,1.654266958
458,789,1.722707424
459,620,1.350762527
460,11952,25.9826087
462,1291,2.794372294
464,8380,18.06034483
467,1117,2.391862955
473,2332,4.930232558
481,273,0.567567568
484,236,0.487603306
485,1628,3.356701031
488,904,1.852459016
489,743,1.519427403
496,2157,4.348790323
513,26498,51.65302144
523,5460,10.43977055
527,133406,253.142315
535,5049,9.437383178
536,7827,14.60261194
537,1483,2.761638734
538,3807,7.076208178
539,3675,6.818181818
541,666,1.231053604
546,33257,60.91025641
549,6160,11.22040073
551,8017,14.54990926
557,10536,18.91561939
561,118,0.210338681
562,4923,8.759786477
572,16873,29.49825175
576,45239,78.53993056
579,3338,5.765112263
584,1181,2.022260274
596,152554,255.9630872
603,8113,13.45439469
604,773,1.279801325
605,3311,5.472727273
607,1591,2.621087315
612,5458,8.918300654
614,2345,3.819218241
623,1763,2.829855538
625,10492,16.7872
628,2349,3.74044586
630,2404,3.815873016
631,35854,56.82091918
632,500341,791.6787975
633,2719,4.295418641
638,1876,2.940438871
639,5369,8.402190923
644,2342,3.636645963
650,1121,1.724615385
651,4052,6.224270353
659,1808,2.743550835
663,12103,18.25490196
