video_id,likes
87185,246.0
9431,1449.0
40599,111.0
494,2358.0
73942,574.0
6918,13488.0
28520,2855.0
37462,3814.0
37920,3131.0
41158,28989.0
82342,10562.0
35914,6269.0
33707,14763.0
33016,45374.0
68236,4242.0
74670,12837.0
26220,3600.0
69750,6758.0
33750,1090.0
78572,2056.0
18247,1285.0
53969,9926.0
55834,1526.0
5280,28255.0
16560,9010.0
78191,1757.0
7101,4960.0
23670,4668.0
41341,12384.0
45494,68.0
15902,2586.0
42456,1533.0
15124,18186.0
14119,3706.0
85189,162019.0
75942,4138.0
76850,17318.0
50920,937.0
45209,12345.0
33500,207.0
79253,30383.0
6588,2043.0
47194,15536.0
703,480.0
32665,290.0
45098,3773.0
8974,828.0
18730,2467.0
69807,225.0
37938,5501.0
73972,4216.0
36442,56.0
31466,6882.0
43499,7122.0
76705,1332.0
27895,512.0
68748,3806.0
33457,124569.0
20210,314.0
34982,503.0
62476,395.0
2212,2313.0
871,2678.0
18267,3777.0
57652,5464.0
10226,2364.0
56634,10890.0
89145,4694.0
66608,6639.0
87430,4343.0
22375,5953.0
76538,82.0
64571,295431.0
33184,1389.0
70899,13588.0
70140,1732.0
39752,85445.0
27375,8995.0
65784,548.0
51939,2644.0
44983,6454.0
19416,46770.0
11992,2414.0
28787,4251.0
33779,604.0
10483,7357.0
62103,15217.0
27651,4086.0
28996,2237.0
44617,863.0
42107,6313.0
77713,23305.0
74295,144.0
52653,1614.0
55629,1468.0
12372,3907.0
22336,2138.0
43869,1195.0
44725,1914.0
53592,7799.0
63345,693.0
38917,897.0
15925,1419.0
53227,6142.0
21676,2461.0
37250,114.0
60762,503.0
85161,1049.0
43279,622.0
26558,2295.0
5043,165864.0
34014,964.0
21634,19.0
75225,947.0
47677,189.0
50325,7602.0
17989,219.0
87040,983.0
48550,223.0
20407,947.0
84634,20627.0
6128,8044.0
33151,5110.0
55723,75.0
75161,1213.0
82444,1504.0
42541,5378.0
86978,81235.0
73659,32860.0
32096,24.0
72347,5184.0
70641,749.0
38853,10815.0
81094,3762.0
17830,3156.0
89051,508.0
46446,1500.0
87268,1429.0
51051,5679.0
6469,13586.0
68243,2662.0
42413,133914.0
30211,69.0
73104,2686.0
17983,562.0
8109,15818.0
10063,3259.0
72125,1061.0
69269,13723.0
24294,342.0
42253,892.0
85045,9653.0
84323,11029.0
79367,1850.0
5769,1528.0
47535,4163.0
34877,1178.0
5797,4574.0
59696,1792.0
76282,24313.0
70183,647.0
36172,1411.0
65326,4470.0
64702,943.0
51485,342.0
63785,6789.0
74356,2103.0
62823,6111.0
63105,810.0
39676,25817.0
35830,1361.0
80177,1851.0
16179,3178.0
78541,5337.0
74025,2657.0
25783,30380.0
86696,5878.0
18198,2919.0
60604,3912.0
36314,1172.0
