Employee_ID,Attrition_rate
EID_22713,0.200285223
EID_9658,0.189904588
EID_22203,0.179843789
EID_7652,0.196789794
EID_6516,0.199067826
EID_20283,0.180580739
EID_21014,0.192901689
EID_7693,0.190269503
EID_13232,0.194578635
EID_6515,0.198627842
EID_13639,0.182983687
EID_14669,0.197347157
EID_16537,0.203440456
EID_5782,0.184595924
EID_20157,0.196450478
EID_1855,0.162048197
EID_20748,0.210275973
EID_23179,0.192706126
EID_12838,0.186329626
EID_21656,0.186677597
EID_8844,0.186432732
EID_1536,0.198079967
EID_8822,0.184700866
EID_11398,0.19356543
EID_12965,0.205513268
EID_5204,0.203093767
EID_10030,0.212191168
EID_13227,0.183707278
EID_20607,0.197219177
EID_14070,0.191919928
EID_3755,0.189623659
EID_5459,0.202699657
EID_7697,0.191454078
EID_3935,0.186913025
EID_19046,0.193597592
EID_4040,0.183201731
EID_17730,0.177725975
EID_4995,0.190009723
EID_24653,0.190026899
EID_6978,0.179258523
EID_13775,0.195642266
EID_14608,0.19125252
EID_3148,0.193822068
EID_24868,0.19764926
EID_5521,0.183273038
EID_21155,0.200434165
EID_3840,0.184667109
EID_10646,0.187295237
EID_6711,0.200775653
EID_16247,0.188190185
EID_16789,0.198453162
EID_17967,0.188634089
EID_13270,0.206283737
EID_18462,0.188140177
EID_22248,0.194669101
EID_22693,0.188085879
EID_25662,0.194455939
EID_23346,0.192042758
EID_4437,0.193854123
EID_18108,0.186283125
EID_7000,0.182216775
EID_22770,0.203805943
EID_7816,0.186350227
EID_19615,0.194202526
EID_23807,0.185181329
EID_16764,0.1941567
EID_16818,0.193800676
EID_22712,0.186397576
EID_18198,0.199735441
EID_11154,0.197333797
EID_22137,0.185578073
EID_11655,0.188986032
EID_18514,0.202951238
EID_24742,0.192553493
EID_16019,0.18887611
EID_7357,0.186923864
EID_20106,0.194482175
EID_13284,0.188852342
EID_5451,0.170800875
EID_19728,0.199017241
EID_9178,0.187711516
EID_13177,0.180094874
EID_14300,0.200759707
EID_4379,0.185966662
EID_11285,0.185634118
EID_14882,0.212636306
EID_9969,0.189195418
