f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,grade
1.848563782,-0.264250107,-0.461422819,0.40939991,1.305454554,2.329398437,0.370964525,0.090166963,0.107958379,0,0.395874245,0.3088792,0.548622544,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,-1.080662837,0.443257074,-0.406121254,-0.687686949,0.271885622,3.727218115,0.102128584,C
-0.825097676,-0.264250107,3.032396516,-2.442599463,1.305454554,-0.276144132,0.370964525,0.090166963,0.107958379,0,0.395874245,0.3088792,0.548622544,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,-1.080662837,-0.232545872,-0.406366066,-0.687686949,0.271885622,-0.232472137,0.102128584,E
1.848563782,-0.264250107,-0.461422819,0.40939991,1.305454554,2.329398437,0.370964525,0.090166963,0.107958379,0,0.395874245,0.3088792,0.548622544,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,0.925357998,1.459782039,1.221876414,1.877776965,0.271885622,-0.232472137,0.102128584,C
0.511733053,-0.264250107,-0.461422819,0.40939991,-0.525726042,-0.276144132,0.370964525,0.090166963,0.107958379,0,0.395874245,0.3088792,-1.9992874,-2.118189242,0.172917125,0.098853361,-3.237511619,0.040193394,0.182574186,0.085505141,0.233284737,0.925357998,-0.008030369,-0.406366066,1.504522994,0.271885622,-0.232472137,0.102128584,C
-0.825097676,-0.264250107,-0.461422819,0.40939991,-0.525726042,-0.276144132,0.370964525,0.090166963,0.107958379,0,-2.526054707,0.3088792,-1.9992874,-2.118189242,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,0.925357998,-0.573267891,-1.164792648,1.877776965,0.271885622,-0.232472137,0.102128584,C
-0.825097676,-0.264250107,-0.461422819,0.40939991,1.305454554,-0.276144132,-2.695675549,0.090166963,0.107958379,0,0.395874245,0.3088792,-1.9992874,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,-1.080662837,0.443257074,1.087229991,-0.687686949,0.271885622,-0.232472137,0.102128584,D
-0.825097676,-0.264250107,-0.461422819,0.40939991,-0.525726042,-0.276144132,-2.695675549,0.090166963,0.107958379,0,0.395874245,0.3088792,0.548622544,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,0.925357998,-0.23367409,1.33204167,1.877776965,0.271885622,-0.232472137,0.102128584,C
0.511733053,-0.264250107,-0.461422819,0.40939991,-0.525726042,-0.276144132,0.370964525,0.090166963,0.107958379,0,0.395874245,0.3088792,-1.9992874,-2.118189242,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,0.925357998,-0.910605255,-0.406121254,-0.608830476,0.271885622,-0.232472137,0.102128584,C
-0.379487433,4.55007146,-0.461422819,0.40939991,1.305454554,-0.276144132,0.370964525,0.090166963,0.107958379,0,0.395874245,0.3088792,-0.725332428,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,-1.080662837,1.233010099,-0.33267775,-0.687686949,0.271885622,3.727218115,0.102128584,C
0.06612281,-0.264250107,-0.461422819,0.40939991,1.305454554,2.665597478,0.370964525,0.090166963,0.107958379,0,0.395874245,-3.237511619,-0.725332428,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,-1.080662837,0.443257074,-0.406121254,-0.687686949,0.271885622,-0.232472137,0.102128584,C
-0.825097676,-0.264250107,-0.461422819,0.40939991,1.305454554,-0.276144132,-2.695675549,0.090166963,0.107958379,0,0.395874245,0.3088792,-1.9992874,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,-5.477225575,0.085505141,0.233284737,0.925357998,-0.684961533,-0.406121254,1.877776965,0.271885622,-0.232472137,0.102128584,D
2.294174025,-0.264250107,-0.461422819,0.40939991,-2.356906637,-0.276144132,0.370964525,0.090166963,0.107958379,0,0.395874245,0.3088792,0.548622544,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,-5.477225575,0.085505141,0.233284737,0.925357998,0.443257074,-0.406366066,-0.36595254,0.271885622,-0.232472137,0.102128584,D
-0.825097676,-0.264250107,-0.461422819,0.40939991,-0.525726042,-0.276144132,-2.695675549,0.090166963,0.107958379,0,0.395874245,0.3088792,0.548622544,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,0.925357998,-0.008030369,-0.406121254,-0.287096067,0.271885622,-0.232472137,0.102128584,C
-0.825097676,-0.264250107,-0.461422819,0.40939991,1.305454554,-0.276144132,-2.695675549,0.090166963,0.107958379,0,0.395874245,0.3088792,0.548622544,0.47210135,-5.783117191,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,0.925357998,-0.684961533,-0.406121254,1.877776965,0.271885622,-0.232472137,0.102128584,D
-0.825097676,-0.264250107,-0.461422819,0.40939991,1.305454554,-0.276144132,-2.695675549,0.090166963,0.107958379,0,0.395874245,0.3088792,-1.9992874,0.47210135,-5.783117191,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,-1.080662837,-0.684961533,-0.406366066,-0.687686949,0.271885622,-0.232472137,0.102128584,D
0.511733053,-0.264250107,-0.461422819,0.40939991,-0.525726042,-0.276144132,0.370964525,0.090166963,0.107958379,0,0.395874245,-3.237511619,0.548622544,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,0.925357998,-0.459317812,1.283079334,1.877776965,0.271885622,-0.232472137,0.102128584,B
-0.825097676,-0.264250107,-0.461422819,0.40939991,1.305454554,-0.276144132,-2.695675549,0.090166963,0.107958379,0,0.395874245,0.3088792,-1.9992874,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,-5.477225575,0.085505141,0.233284737,0.925357998,-0.684961533,1.087229991,-0.287096067,0.271885622,-0.232472137,0.102128584,D
-0.825097676,-0.264250107,-0.461422819,0.40939991,-0.525726042,-0.276144132,0.370964525,0.090166963,0.107958379,0,0.395874245,-3.237511619,0.548622544,0.47210135,0.172917125,0.098853361,0.3088792,0.040193394,0.182574186,0.085505141,0.233284737,-1.080662837,-0.572139673,1.33204167,-0.687686949,0.271885622,-0.232472137,0.102128584,C
