ID,datetime,temperature,var1,pressure,windspeed,var2,electricity_consumption
0,2013-07-01 00:00:00,-11.4,-17.1,1003.0,571.91,A,216.0
1,2013-07-01 01:00:00,-12.1,-19.3,996.0,575.04,A,210.0
2,2013-07-01 02:00:00,-12.9,-20.0,1000.0,578.435,A,225.0
3,2013-07-01 03:00:00,-11.4,-17.1,995.0,582.58,A,216.0
4,2013-07-01 04:00:00,-11.4,-19.3,1005.0,586.6,A,222.0
5,2013-07-01 05:00:00,-10.7,-19.3,1013.0,2.79,A,216.0
6,2013-07-01 06:00:00,-13.6,-17.1,1006.0,4.38,A,219.0
7,2013-07-01 07:00:00,-11.4,-17.9,997.0,7.635,A,222.0
8,2013-07-01 08:00:00,-10.7,-18.6,1012.0,12.055,A,219.0
9,2013-07-01 09:00:00,-10.0,-16.4,1002.0,17.975,A,222.0
10,2013-07-01 10:00:00,-7.1,-17.1,1008.0,23.035,A,201.0
11,2013-07-01 11:00:00,-7.9,-17.9,1003.0,28.205,A,204.0
12,2013-07-01 12:00:00,-5.7,-15.0,998.0,31.725,A,210.0
13,2013-07-01 13:00:00,-6.4,-14.3,1008.0,35.62,A,216.0
14,2013-07-01 14:00:00,-3.6,-15.0,999.0,40.915,A,216.0
15,2013-07-01 15:00:00,-5.0,-14.3,997.0,44.56,A,216.0
16,2013-07-01 16:00:00,-4.3,-16.4,1009.0,48.44,A,213.0
17,2013-07-01 17:00:00,-7.1,-18.6,1003.0,50.355,A,198.0
18,2013-07-01 18:00:00,-7.1,-16.4,1007.0,53.235,A,198.0
19,2013-07-01 19:00:00,-6.4,-16.4,996.0,56.365,A,213.0
20,2013-07-01 20:00:00,-7.9,-17.1,997.0,59.87,A,216.0
21,2013-07-01 21:00:00,-6.4,-15.7,996.0,63.515,A,222.0
22,2013-07-01 22:00:00,-9.3,-15.7,1015.0,67.41,A,210.0
23,2013-07-01 23:00:00,-10.0,-16.4,1012.0,72.08,A,216.0
24,2013-07-02 00:00:00,-8.6,-14.3,1003.0,76.35,A,210.0
25,2013-07-02 01:00:00,-7.9,-17.1,1011.0,5.77,A,231.0
26,2013-07-02 02:00:00,-8.6,-14.3,1000.0,10.065,A,210.0
27,2013-07-02 03:00:00,-10.7,-15.7,997.0,5.52,A,213.0
28,2013-07-02 04:00:00,-10.7,-14.3,1016.0,4.77,A,204.0
29,2013-07-02 05:00:00,-8.6,-16.4,1015.0,9.665,A,222.0
30,2013-07-02 06:00:00,-8.6,-17.9,1015.0,6.17,A,210.0
31,2013-07-02 07:00:00,-10.0,-17.9,1003.0,5.27,A,210.0
32,2013-07-02 08:00:00,-10.0,-17.1,1017.0,10.44,A,198.0
33,2013-07-02 09:00:00,-7.9,-17.9,1011.0,14.335,A,204.0
34,2013-07-02 10:00:00,-7.1,-17.9,1005.0,18.23,A,225.0
35,2013-07-02 11:00:00,-7.1,-13.6,1009.0,22.625,A,213.0
36,2013-07-02 12:00:00,-7.1,-14.3,1016.0,25.005,A,204.0
37,2013-07-02 13:00:00,-3.6,-13.6,1001.0,2.415,A,237.0
38,2013-07-02 14:00:00,-5.0,-17.1,1005.0,4.305,A,210.0
39,2013-07-02 15:00:00,-5.7,-15.0,1011.0,5.195,A,234.0
40,2013-07-02 16:00:00,-3.6,-16.4,1010.0,5.835,A,243.0
41,2013-07-02 17:00:00,-5.0,-17.1,999.0,6.225,A,234.0
42,2013-07-02 18:00:00,-5.7,-17.1,1011.0,2.54,A,240.0
43,2013-07-02 19:00:00,-7.9,-13.6,996.0,1.6400000000000001,A,276.0
44,2013-07-02 20:00:00,-7.1,-14.3,1007.0,1.7650000000000001,A,264.0
45,2013-07-02 21:00:00,-7.9,-15.0,995.0,2.39,A,270.0
46,2013-07-02 22:00:00,-8.6,-13.6,1005.0,3.4050000000000002,A,282.0
47,2013-07-02 23:00:00,-8.6,-15.0,995.0,4.545,A,258.0
48,2013-07-03 00:00:00,-7.9,-15.7,1011.0,2.14,A,249.0
49,2013-07-03 01:00:00,-8.6,-12.1,1002.0,3.2800000000000002,A,270.0
50,2013-07-03 02:00:00,-10.0,-14.3,996.0,4.295,A,288.0
51,2013-07-03 03:00:00,-8.6,-12.9,1002.0,4.4350000000000005,A,348.0
52,2013-07-03 04:00:00,-10.7,-13.6,1004.0,1.5150000000000001,A,396.0
53,2013-07-03 05:00:00,-10.7,-15.0,1005.0,1.6400000000000001,A,414.0
54,2013-07-03 06:00:00,-10.7,-12.1,995.0,2.765,A,381.0
55,2013-07-03 07:00:00,-9.3,-15.0,999.0,2.015,A,411.0
56,2013-07-03 08:00:00,-10.0,-15.7,999.0,4.555,A,381.0
57,2013-07-03 09:00:00,-10.0,-12.1,995.0,1.7650000000000001,A,324.0
58,2013-07-03 10:00:00,-7.1,-15.0,994.0,2.14,A,327.0
59,2013-07-03 11:00:00,-5.7,-10.7,994.0,2.39,A,300.0
60,2013-07-03 12:00:00,-5.0,-12.9,1009.0,1.7650000000000001,A,312.0
61,2013-07-03 13:00:00,-5.7,-12.9,1006.0,2.6550000000000002,A,333.0
62,2013-07-03 14:00:00,-3.6,-12.9,1004.0,4.295,A,372.0
63,2013-07-03 15:00:00,-5.0,-14.3,995.0,3.29,A,417.0
64,2013-07-03 16:00:00,-5.0,-14.3,999.0,2.14,A,423.0
65,2013-07-03 17:00:00,-7.1,-14.3,989.0,2.965,A,414.0
66,2013-07-03 18:00:00,-7.1,-12.9,1008.0,2.015,A,396.0
67,2013-07-03 19:00:00,-7.1,-14.3,996.0,3.4050000000000002,A,486.0
68,2013-07-03 20:00:00,-9.3,-15.0,1000.0,3.92,A,519.0
69,2013-07-03 21:00:00,-10.0,-15.7,1001.0,2.2,A,447.0
70,2013-07-03 22:00:00,-9.3,-13.6,998.0,2.59,A,474.0
71,2013-07-03 23:00:00,-10.7,-15.0,1009.0,2.79,A,459.0
72,2013-07-04 00:00:00,-12.1,-12.1,993.0,3.43,A,462.0
73,2013-07-04 01:00:00,-10.7,-12.9,998.0,1.45,A,504.0
74,2013-07-04 02:00:00,-11.4,-15.7,996.0,4.755,A,384.0
75,2013-07-04 03:00:00,-9.3,-15.0,994.0,6.045,A,342.0
76,2013-07-04 04:00:00,-12.9,-15.7,993.0,6.935,A,276.0
77,2013-07-04 05:00:00,-12.1,-12.9,997.0,8.975,A,261.0
78,2013-07-04 06:00:00,-12.1,-14.3,997.0,11.14,A,273.0
79,2013-07-04 07:00:00,-10.7,-14.3,1000.0,2.39,A,279.0
80,2013-07-04 08:00:00,-12.9,-15.0,1001.0,3.165,A,240.0
81,2013-07-04 09:00:00,-10.0,-12.1,996.0,2.915,A,273.0
82,2013-07-04 10:00:00,-7.9,-12.9,995.0,2.39,A,276.0
83,2013-07-04 11:00:00,-7.1,-12.9,998.0,2.5300000000000002,A,312.0
84,2013-07-04 12:00:00,-6.4,-14.3,996.0,3.67,A,294.0
85,2013-07-04 13:00:00,-4.3,-11.4,1005.0,5.4350000000000005,A,288.0
