ID,electricity_consumption
552,212.4423556
553,205.4430802
554,211.3499502
555,192.9748516
556,248.3122545
557,249.3535804
558,262.2506072
559,221.2956793
560,251.4283879
561,332.9111782
562,264.148346
563,248.9016717
564,253.2672814
565,282.1647509
566,267.4467026
567,276.5542036
568,298.7423241
569,266.9026924
570,219.6233629
571,264.1399129
572,351.4973222
573,284.5377204
574,292.7779334
575,312.714884
576,279.9353401
577,303.0101205
578,251.3598654
579,278.7187037
580,232.7974769
581,233.1580485
582,250.2284291
583,223.0222553
584,217.11305
585,211.4295796
586,217.6446348
587,214.3995569
588,211.2558515
589,214.2200943
590,216.1446683
591,209.3498063
592,215.6372374
593,212.6192845
594,211.0118684
595,246.1457135
596,241.0329763
597,262.9180422
598,267.679828
599,242.8377388
600,251.9429581
601,234.7104673
602,216.6526018
603,221.0050966
604,254.2176091
605,208.862909
606,210.3126273
607,234.0270802
608,234.6007376
609,237.5396073
610,214.1970646
611,213.8168988
612,251.9961536
613,270.1605422
614,252.6037401
615,248.3582872
616,225.233571
617,269.2132987
618,268.8878185
619,313.675879
620,260.6121332
621,264.5331214
622,270.1849758
623,248.9504923
624,219.6001105
625,241.6083433
626,223.3493917
627,226.0198201
628,223.2445774
629,221.4681487
630,216.4007799
631,215.9868471
632,236.722298
633,201.5826831
634,209.9073348
635,222.8965818
636,227.1536052
637,249.4566255
638,239.9283835
639,250.6537382
640,226.110732
641,235.0219187
642,211.4346844
643,212.1751527
644,234.6017616
645,234.108645
646,217.6932674
647,231.1838928
648,215.7839057
649,238.1713475
650,218.2458945
651,216.0061998
652,216.2708312
653,226.1136794
654,222.0593838
655,215.1122923
656,253.4197537
657,244.992861
658,219.4103083
659,234.2411279
660,221.0551535
661,225.4584677
662,233.5689238
663,218.4725059
664,216.8116895
665,220.0437947
666,219.5661553
667,225.1949216
668,211.5769309
669,210.9650648
670,216.1612302
671,222.6101506
672,211.2266645
673,213.3108951
674,216.0940057
675,207.67523
676,259.1624314
677,192.8415526
678,210.496786
679,199.4027309
680,187.370213
681,204.3041899
682,224.2102108
683,237.8253616
684,232.8153633
685,230.0884857
686,222.0298164
687,232.9454786
688,214.7906015
689,218.3398969
690,220.3536332
691,210.0387854
692,212.9560276
693,215.3950844
694,224.7092782
695,215.0753432
696,214.259383
697,212.4848986
698,216.214239
699,214.8650131
700,219.0792875
701,213.4832117
702,237.1695945
703,209.1262037
704,209.3149002
705,249.8030096
706,209.4735194
707,267.9263003
708,251.5764619
709,266.8075375
710,262.8731768
711,266.5602245
712,257.2495515
713,254.2647379
714,263.4755114
715,250.4768484
716,261.4973437
717,254.8826564
718,251.3578436
719,266.114098
720,252.6892754
721,232.8883935
722,239.9305424
723,245.0765407
724,238.317816
725,243.2978316
726,310.2647046
727,286.5323174
728,240.3954047
729,247.0946515
730,253.2639544
731,238.0120178
732,239.4724244
733,231.5491418
734,226.7708767
735,207.9139001
736,223.0867285
737,224.7917192
738,230.3220653
739,256.6657532
740,237.2578802
741,250.6568732
742,243.6206028
743,237.2744907
1296,641.5518582
1297,624.0104296
1298,566.7834585
1299,603.2298399
1300,572.0482037
1301,532.2650243
1302,523.1451578
1303,510.1534632
1304,496.8234254
1305,579.3668174
1306,392.1298356
1307,374.4218618
1308,373.5775535
1309,341.950998
1310,364.9287395
1311,333.3483042
1312,333.3851348
1313,353.6569295
1314,385.6000099
1315,353.1942727
1316,710.0864024
1317,704.9423384
1318,602.2864383
1319,662.5652584
1320,650.0250779
1321,588.7726297
1322,699.0067082
1323,733.5050459
1324,639.0569302
1325,675.4548357
1326,725.5830267
1327,685.4708903
1328,706.5302356
1329,666.1095075
1330,638.9859981
1331,622.4323713
1332,611.9043111
1333,482.9436945
1334,474.3619678
1335,612.3409886
1336,436.0063188
1337,532.4352308
1338,400.1450736
1339,454.1095233
1340,462.4938983
1341,421.3221961
1342,395.9824441
1343,390.4526939
1344,388.5197502
1345,381.9311337
1346,505.0040129
1347,483.3037881
1348,652.6537458
1349,664.8208903
1350,633.2589057
1351,637.767269
1352,639.1356828
1353,660.7013578
1354,620.0100541
1355,618.2972956
1356,679.6900521
1357,684.8447177
1358,668.4359907
1359,684.4625463
1360,710.8246885
1361,620.6768352
1362,689.6658237
1363,649.8844862
1364,543.2596767
1365,593.9677158
1366,644.5484461
1367,610.9031854
1368,627.2832209
1369,585.3527504
1370,591.4436735
1371,590.765365
1372,609.4393805
1373,509.5595063
1374,474.1106293
1375,489.0662022
1376,548.3804201
1377,483.1462553
1378,487.1797377
1379,420.7889327
1380,464.2636454
1381,396.47229
1382,427.2753598
1383,422.2447562
1384,406.4839726
1385,326.6563283
1386,334.002245
1387,421.2356312
1388,418.0985015
1389,387.758263
1390,444.245508
1391,438.5326393
1392,368.6641057
1393,451.0849684
1394,511.3306279
1395,331.4564087
1396,394.38464
1397,415.4054439
1398,292.6996079
1399,295.1559725
1400,242.569397
1401,245.7318587
1402,237.6752337
1403,229.0105278
1404,235.0938912
1405,233.5299432
1406,238.4271989
1407,234.3237986
1408,224.5107268
1409,224.8152562
1410,227.6684934
1411,232.1487097
1412,229.6025791
1413,222.1830498
1414,226.1535188
1415,219.7711637
1416,241.3130469
1417,260.6093319
1418,333.987297
1419,264.5283332
1420,290.2106231
1421,237.0278299
1422,217.7320266
1423,226.7200894
1424,194.0591031
1425,219.350476
1426,205.3789081
1427,232.8264385
1428,204.6570178
1429,223.2168186
1430,221.6776427
1431,224.710878
1432,220.4981104
1433,226.1713502
1434,237.2109272
1435,229.8351458
1436,236.874986
1437,234.3237667
1438,214.190862
1439,229.0438813
1440,238.1163341
1441,223.2732659
1442,210.6341577
1443,236.7792583
1444,222.7146122
1445,275.1627329
1446,240.2317501
1447,277.3541547
1448,252.6155604
1449,255.3705068
1450,213.7478869
1451,219.5717328
1452,219.745192
1453,213.4287901
1454,216.8153155
1455,219.5452811
1456,228.04328
1457,215.516254
1458,233.1235016
1459,213.136175
1460,223.2359576
1461,229.8028166
1462,215.6900178
1463,231.3525698
