0,1,2,3,4,5
0.170572334,0.200716618,0.18753223,0.224023218,0.06886667,0.140666098
0.105203473,0.222353234,0.217670619,0.255486286,0.048577163,0.141062108
0.15524298,0.196032887,0.179757845,0.160283149,0.067110818,0.22730833
0.209818678,0.199272993,0.235110827,0.095385947,0.181341995,0.075125418
0.130017338,0.278196015,0.20227258,0.158118005,0.121719258,0.103928895
0.151075989,0.1780243,0.264169944,0.185018484,0.0593265,0.152849833
0.203148041,0.186512385,0.158398979,0.245835663,0.051520493,0.144767586
0.188912519,0.258814547,0.210565907,0.12618088,0.130061652,0.080715967
0.206495439,0.226058468,0.170493601,0.166574087,0.079250468,0.141425126
0.169915771,0.13822393,0.226900288,0.221607343,0.066014947,0.166560229
0.153293419,0.159944932,0.131145755,0.195928591,0.085829513,0.259550637
0.121625294,0.243256081,0.218032104,0.129841914,0.096035601,0.180879424
0.131536601,0.352102626,0.142086159,0.131498514,0.120693081,0.11452665
0.12454599,0.15801082,0.180667529,0.233128179,0.054553052,0.23556681
0.126659233,0.369875645,0.137175794,0.118438767,0.066072518,0.170910205
0.140933702,0.126430292,0.232204544,0.265834838,0.029633036,0.194351923
0.180009363,0.227552615,0.167462231,0.125984846,0.163672189,0.126095932
0.116880629,0.114788812,0.282119054,0.240219129,0.039055328,0.197852289
0.153534802,0.220370933,0.170331235,0.163711028,0.110887286,0.171713151
0.129253027,0.177030468,0.18522149,0.254588288,0.033751483,0.211358172
0.143198343,0.203137451,0.222620959,0.174834203,0.102440457,0.145179552
0.138420458,0.177789603,0.164307507,0.191845624,0.083441952,0.232554399
0.130399168,0.157030326,0.164890189,0.243393835,0.071764361,0.220650746
0.112819188,0.195661938,0.188811786,0.248222862,0.058901129,0.18420661
0.239844876,0.237918005,0.186311717,0.122429038,0.123911878,0.083826274
0.125713177,0.172315469,0.136398189,0.204839023,0.07934915,0.267702987
0.184560557,0.269668038,0.181981555,0.099247366,0.138140223,0.11944011
0.242508893,0.200690773,0.233810438,0.163588933,0.073155003,0.081299261
0.293069434,0.227318501,0.209281308,0.101041654,0.111133871,0.055881672
0.122696754,0.110162784,0.23395844,0.301472624,0.032413124,0.188362892
0.110817582,0.218584652,0.156233149,0.156607857,0.07213131,0.272343123
0.211185265,0.238694881,0.147328869,0.154740199,0.132707358,0.108991477
0.122745592,0.357531164,0.145426575,0.123084831,0.128359718,0.116275045
0.139757242,0.129509664,0.263421041,0.191133806,0.057049712,0.207139462
0.111927189,0.142854151,0.160190337,0.345982341,0.047120407,0.180803558
0.205260423,0.214100523,0.218809718,0.124019147,0.126837841,0.102349052
0.252120055,0.218920937,0.203199873,0.125977382,0.087616337,0.105805004
0.28314955,0.203704755,0.17506805,0.113620482,0.133482232,0.08651838
0.167859015,0.240768821,0.260337066,0.156383918,0.08747254,0.08321785
0.142242611,0.094791827,0.335119771,0.271734289,0.032934215,0.118131921
0.185042208,0.341785936,0.154750829,0.101246572,0.102687171,0.10945579
0.279344148,0.17141279,0.206682835,0.126454761,0.120717639,0.087777086
0.169593697,0.171503793,0.213055276,0.220505869,0.069245151,0.146469839
0.154815885,0.218838281,0.215561383,0.151912176,0.112638424,0.137062786
0.151399176,0.173709949,0.216213113,0.198370496,0.071823855,0.178754812
0.132517893,0.170913733,0.30705829,0.212295145,0.028919764,0.141665456
0.216710143,0.188272935,0.158156832,0.119293116,0.165017683,0.144081847
0.173448857,0.15045408,0.231515088,0.244312789,0.043418911,0.147471501
0.266751137,0.21821731,0.187417858,0.161805646,0.05891144,0.099370641
0.255649347,0.156259757,0.190540449,0.169228575,0.11460484,0.108206919
0.24884309,0.239974343,0.164013801,0.172553434,0.058142286,0.110835972
0.183091765,0.222017547,0.22058989,0.130325227,0.115227478,0.123479955
0.147303118,0.150365477,0.278270653,0.197725531,0.052584549,0.165637158
0.108216063,0.094712373,0.28103468,0.197252205,0.042328575,0.260938255
0.211442426,0.15175076,0.179443923,0.213775377,0.080524675,0.154116424
0.212551122,0.150563192,0.265414624,0.199387642,0.050189617,0.113952974
0.130702153,0.189313191,0.256648627,0.183977252,0.052886338,0.175600444
0.15503757,0.191083709,0.307218495,0.18063376,0.0469056,0.111777348
0.181287535,0.206552612,0.251875409,0.136954958,0.116193063,0.100563894
0.175403581,0.122536618,0.198637791,0.289330728,0.05345831,0.150849663
0.22054665,0.246866496,0.19762167,0.121196761,0.083621687,0.122576823
0.140497573,0.312577777,0.190255964,0.09604592,0.152398955,0.101375103
0.170609727,0.264239962,0.147794479,0.142964062,0.109062319,0.155675799
0.195392493,0.269522079,0.18610076,0.105091782,0.131327631,0.107530277
0.153037896,0.193975755,0.299366231,0.164950696,0.087179332,0.095832569
0.179339424,0.139364836,0.332941688,0.218797048,0.030182732,0.092865043
0.238845682,0.239855047,0.189289764,0.09797979,0.16853978,0.062183258
0.156951495,0.191518924,0.202099172,0.186388622,0.048461638,0.204964762
0.161586019,0.347246016,0.189449571,0.100157538,0.097161499,0.097739457
0.070728049,0.084160606,0.355241664,0.278996502,0.015727625,0.184263131
