enrollee_id,target
16548,0.432409474
12036,0.116310131
11061,0.330532752
5032,0.001528427
17599,0.094382689
19314,0.039467068
12365,0.260927389
22696,0.071711368
16083,0.051853097
33240,0.137309457
813,0.121565279
1362,0.013119687
3821,0.057271639
26316,0.254139129
29269,0.111268441
22524,0.137496841
30407,0.055915697
863,0.070906272
27743,0.098940076
29303,0.018862613
1019,0.111197972
8819,0.099351689
5397,0.047235479
14697,0.101624272
10407,0.0776482
19224,0.353396487
735,0.061031421
14106,0.304323861
858,0.117055329
9061,0.05611687
12775,0.078042347
7964,0.115705201
30781,0.134449258
29346,0.146550487
17991,0.052178626
15768,0.138877616
15378,0.096379556
27248,0.048628997
5931,0.050392575
11897,0.070012771
10606,0.121916819
28368,0.111803179
11081,0.057446046
19611,0.133085188
1283,0.100825108
18590,0.006657726
2076,0.066548889
19130,0.037531801
29874,0.109555343
16387,0.066595036
22536,0.104276056
30268,0.320009232
23258,0.165711951
14201,0.146197195
10551,0.158926416
28787,0.104315595
23340,0.346190161
26020,0.101597343
22989,0.074664059
14594,0.110132482
10127,0.140098874
18684,0.023023347
20163,0.066360157
997,0.11657652
32505,0.370396246
28948,0.077191166
19793,0.130840739
22487,0.095756494
28765,0.080220315
28078,0.109446842
3780,0.101221255
15396,0.255729077
31167,0.141046186
8834,0.195559105
12051,0.114028307
29453,0.293675705
4305,0.104086457
28298,0.159921431
33189,0.156058
6611,0.035446224
4763,0.291612082
11459,0.068482125
4870,0.101398283
12630,0.068038606
29618,0.049778855
30033,0.002345773
25404,0.1379693
5522,0.118217046
13026,0.121194601
14788,0.039303473
8450,0.191559395
15425,0.095731026
17221,0.352064487
32535,0.102332945
3356,0.081196478
6938,0.118879586
25715,0.116918858
25064,0.038231589
29805,0.101788512
20608,0.267485393
32283,-0.023069894
17793,0.142523761
1525,0.122666921
3579,0.05871532
1704,0.061720915
16657,0.114195483
21066,0.1528366
32817,0.083886559
24938,0.102324508
2837,0.294530435
1157,0.036496705
33154,0.220532303
27434,0.148392547
15056,-0.001700534
2555,0.070095455
19701,0.113927813
25529,0.091102834
17070,0.116359168
26053,0.066932446
30684,0.007383693
2815,0.096563222
31291,0.07885582
26903,0.101511622
32889,0.145154676
20873,0.151237891
27921,0.15158073
16150,0.074644887
31345,0.049170699
13375,0.086746377
12369,0.312756445
30180,0.054002602
33355,0.018086375
2417,0.127339781
30481,0.073839202
5540,0.12092393
32713,0.088490209
263,0.237664492
20373,0.229783095
4991,0.125105408
24045,0.209010809
17697,0.035324298
30866,0.093115268
12996,0.167674417
25973,-0.006846543
18035,0.273338698
8980,0.127941425
6515,0.181633713
24754,0.09537086
3901,0.046477217
8499,0.252288066
6139,0.035585916
31696,0.046574987
24611,0.041802313
18882,0.065886859
11713,0.249514881
7027,0.085105981
23513,0.067894903
3013,0.196774993
11584,0.085406248
24451,0.090818548
17738,0.137701018
30028,0.247074165
9366,0.1648039
25896,0.039748751
29281,0.18669503
31222,0.097902896
11790,0.159168081
15533,0.157194735
10055,0.087149073
32053,0.194231285
9977,0.156252386
30111,0.17614698
20140,0.203926164
24780,0.07226221
33097,0.022217809
1312,0.113534244
8694,0.101240172
14127,0.107052156
29904,0.153806472
29099,0.059255499
18616,0.053233172
31040,0.29346238
28643,0.157643376
7132,0.237463264
30579,0.069176415
19419,0.052146582
7835,0.056998742
11957,0.088812711
20303,0.146995541
20120,0.065276801
24434,0.139099978
25972,0.05461918
10442,0.002044288
24285,0.183661596
8925,0.185169941
26227,0.067081479
15960,0.057077825
28482,0.172884873
23555,0.15046209
10319,0.082409029
9717,0.176331165
24606,0.158695208
4545,0.112537883
30371,0.122661062
10309,0.091806653
11076,0.070398987
14411,0.325527679
18403,0.065288883
30763,0.191398962
10772,0.044636055
10597,0.119958682
6940,0.069507063
14149,0.288099387
30682,0.163474463
33089,0.042221754
28300,0.129876646
28024,0.066787342
15923,0.090282402
23021,0.028378002
9271,0.138945624
24649,0.164881693
25717,0.0701829
21247,0.153222083
2302,0.048578727
32609,0.118239841
