enrollee_id,target
16548,0.355779764
12036,0.049486528
11061,0.246709444
5032,0.049100675
17599,0.021410749
19314,0.086536587
12365,0.248164825
22696,0.080608552
16083,0.086386862
33240,0.117163458
813,0.102166908
1362,0.066698253
3821,0.13226384
26316,0.285896885
29269,0.111874139
22524,0.07352518
30407,0.089050445
863,0.072831075
27743,0.102659013
29303,0.09938019
1019,0.095487341
8819,0.102659013
5397,0.065136627
14697,0.065143658
10407,0.102166908
19224,0.122352444
735,0.068093952
14106,0.246709444
858,0.086386862
9061,0.11968476
12775,0.074667943
7964,0.075207628
30781,0.090164756
29346,0.242992597
17991,0.047281594
15768,0.210789358
15378,0.086888327
27248,0.059730634
5931,0.094315761
11897,0.072831075
10606,0.078688944
28368,0.170731512
11081,0.060762576
19611,0.162753952
1283,0.08691152
18590,0.049100675
2076,0.060762576
19130,0.063607617
29874,0.091829622
16387,0.075207628
22536,0.085894684
30268,0.246709444
23258,0.171647605
14201,0.102166908
10551,0.099783849
28787,0.095121793
23340,0.312254486
26020,-0.027777233
22989,0.074566228
14594,0.046128696
10127,0.102659013
18684,0.041308719
20163,0.036827118
997,0.085537583
32505,0.421174885
28948,0.060085625
19793,0.095871445
22487,0.09938019
28765,0.075207628
28078,0.045259728
3780,0.102084341
15396,0.123280146
31167,0.079737598
8834,0.246709444
12051,0.136670854
29453,0.356956116
4305,0.112060616
28298,0.081649739
33189,0.085298864
6611,0.064061922
4763,0.246709444
11459,0.109070904
4870,0.059730634
12630,0.097554965
29618,0.041314358
30033,-0.021555471
25404,0.073239271
5522,0.102166908
13026,0.095121793
14788,0.025654963
8450,0.285603188
15425,0.092510139
17221,0.285603188
32535,0.039948375
3356,0.143155748
6938,0.102166908
25715,0.102166908
25064,0.105288933
29805,0.161390879
20608,0.285603188
32283,0.055061296
17793,0.22601728
1525,0.120191005
3579,0.076624032
1704,0.072831075
16657,0.055022521
21066,0.234091206
32817,0.069843111
24938,0.07087947
2837,0.304493341
1157,0.099783849
33154,0.285603188
27434,0.143025358
15056,0.110720565
2555,0.102084341
19701,0.075207628
25529,0.083866058
17070,0.054123399
26053,0.049100675
30684,0.019948073
2815,0.085537583
31291,0.07087947
26903,0.102166908
32889,0.115999949
20873,0.246709444
27921,0.123071252
16150,0.061353254
31345,0.095931567
13375,0.015158959
12369,0.188962393
30180,0.102166908
33355,0.075207628
2417,0.147107886
30481,0.091829622
5540,0.12398999
32713,0.120167002
263,0.186898462
20373,0.160452045
4991,0.13226384
24045,0.38296994
17697,0.068964475
30866,0.127794812
12996,0.246709444
25973,-0.009070592
18035,0.285603188
8980,0.072831075
6515,0.199021406
24754,0.085537583
3901,0.102659013
8499,0.163289647
6139,0.139078315
31696,0.072831075
24611,0.058805856
18882,0.066796221
11713,0.285603188
7027,0.108681244
23513,0.068964475
3013,0.134170735
11584,0.09127572
24451,0.08691152
17738,0.15012372
30028,0.194882582
9366,0.199021406
25896,0.067922145
29281,0.115723165
31222,0.102166908
11790,0.246709444
15533,0.017330105
10055,0.049637719
32053,0.222624131
9977,0.20440732
30111,0.304803474
20140,0.246709444
24780,0.22129534
33097,0.07087947
1312,0.120191005
8694,0.071603946
14127,0.081649739
29904,0.102659013
29099,0.066698253
18616,0.072165848
31040,0.221670623
28643,0.134170735
7132,0.210526981
30579,0.120191005
19419,0.176608744
7835,0.095121793
11957,0.08691152
20303,0.214832577
20120,0.102166908
24434,0.141493861
25972,0.066698253
10442,0.087929423
24285,0.222624131
8925,0.163289647
26227,0.08691152
15960,0.074848423
28482,0.074566228
23555,0.076542651
10319,0.092627695
9717,0.124934637
24606,0.199021406
4545,0.065364957
30371,0.181579921
10309,0.246709444
11076,0.094315761
14411,0.199021406
18403,0.014027635
30763,0.222624131
10772,0.08050816
10597,0.251740745
6940,0.068964475
14149,0.271457931
30682,0.07280532
33089,0.09396723
28300,0.15012372
28024,0.065136627
15923,0.086386862
23021,0.053270642
9271,0.343203187
24649,0.246709444
25717,0.068964475
21247,0.203886312
2302,0.041375062
32609,0.134170735
27506,0.086574183
30403,0.27594762
6612,0.058613254
14011,0.092627695
22398,0.058870667
13659,0.091829622
7087,0.127884405
33044,0.165040583
29659,0.095487341
