UniqueID,loan_default
655269,0.401668959
723482,0.30727646
758529,0.383724091
763449,0.381403195
708663,0.401149284
725530,0.485479891
708592,0.472166965
714975,0.38635928
712795,0.386082252
708656,0.357164504
712520,0.235154373
753695,0.397101442
708646,0.330000197
730225,0.30879035
714877,0.332229446
769166,0.388433992
710254,0.291084958
708812,0.406419375
726172,0.40940697
716959,0.45449721
725935,0.398649388
736039,0.516275294
748400,0.533246011
753652,0.360653878
695108,0.265629223
695320,0.132495256
662145,0.230672293
688068,0.035959646
662099,0.150759969
723985,0.194921063
757491,0.208858785
688610,0.26006793
733285,0.172460831
722392,0.147991986
689941,0.151416795
662086,0.104547741
662336,0.158720964
662373,0.245325316
662111,0.133503219
711459,0.088978181
662098,0.160368464
729627,0.154262116
729023,0.140599092
698148,0.194842612
662059,0.181882369
662318,0.160385557
662400,0.063089715
745881,0.23468617
707400,0.075580756
665203,0.312817035
662265,0.219072727
724712,0.124970893
662430,0.183654521
662431,0.248377869
718315,0.244446665
733477,0.393659268
727178,0.187588315
709205,0.0643266
760975,0.160692108
728884,0.087375773
697644,0.25625779
766710,0.369898818
743227,0.144435683
728888,0.220588718
760702,0.192146769
677241,0.405704361
728922,0.171920749
728655,0.23229736
751372,0.298625758
741935,0.18382341
728307,0.308556696
717735,0.342976243
702566,0.146935388
757194,0.181621343
727264,0.317084752
767201,0.163569261
756322,0.154089257
728833,0.210655988
710833,0.529754889
742470,0.294625634
697634,0.382564261
702435,0.277862809
761300,0.333632062
734035,0.313815912
728916,0.347559606
728234,0.274888281
747459,0.259160274
742464,0.244791219
728178,0.39380389
756405,0.251691348
729226,0.275189897
729812,0.365190116
761338,0.257023507
710494,0.265288735
764460,0.162292059
710622,0.307787014
756779,0.315064555
712028,0.3729047
756503,0.221459869
767068,0.228475778
756908,0.365539414
756887,0.319106913
766830,0.250666637
750180,0.320185304
654130,0.338383892
718310,0.262219959
710116,0.246035246
718090,0.231275777
717738,0.13906997
717763,0.285716425
718122,0.362376
756482,0.269672955
654116,0.230301544
756860,0.169918991
718369,0.153221765
756598,0.220937317
717871,0.362376
768065,0.232632952
718014,0.296222467
754576,0.262592111
738611,0.3729047
757087,0.315047006
766961,0.269376217
717826,0.23212138
717843,0.267797721
715776,0.316638323
721686,0.269672955
717640,0.199833569
718049,0.379422393
756661,0.428505649
757067,0.35075636
766290,0.313160793
764814,0.22870632
766918,0.342264886
718041,0.279550988
710788,0.37401184
767614,0.210841551
757168,0.138992765
690608,0.45563541
692926,0.125222166
691329,0.076309218
683899,0.158890933
691102,0.112454107
758084,0.138270328
695277,0.108801685
680791,0.344093703
739107,0.421514101
719142,0.196932198
693504,0.27762895
739745,0.239890283
691131,0.067506104
766835,0.065239066
689547,0.152501068
719266,0.207144046
681174,0.158876268
710506,0.288278074
708686,0.158331933
739254,0.243683697
684079,0.106590776
745880,0.286323372
680848,0.258126824
692316,0.282335641
739169,0.124847984
757097,0.140737499
683767,0.109176588
682686,0.18747054
681184,0.300885012
719076,0.082709268
739539,0.174995949
693069,0.104561303
689637,0.286323372
719214,0.244608836
680936,0.134542139
766344,0.276074415
729262,0.204241972
766080,0.066891796
729137,0.344710852
729147,0.330490361
754653,0.223782163
729006,0.211449685
721015,0.302034831
743861,0.209725543
724054,0.248656995
710959,0.163661452
755247,0.299929459
729097,0.347694629
728996,0.316581862
728557,0.210409873
739664,0.151941919
766297,0.246305253
753448,0.290372946
766357,0.229712155
746654,0.248407215
703653,0.208408035
729025,0.181169498
730115,0.27535679
759298,0.099155714
766104,0.335322704
711093,0.154254588
766735,0.410877216
710969,0.146929601
766145,0.368928543
729062,0.313498619
744371,0.246661598
747659,0.262879751
662312,0.398188038
761597,0.223035256
766813,0.448427258
663407,0.310604949
668048,0.143383002
663839,0.25871148
679710,0.37879527
669243,0.319893517
657976,0.408391615
663606,0.350065455
657988,0.368641296
759622,0.158528391
759821,0.377808069
662711,0.39330881
665807,0.26774462
657990,0.166763719
675964,0.297888804
663616,0.181282796
668162,0.401867135
662639,0.248882415
678807,0.187434483
662184,0.35969928
674086,0.344431066
677849,0.291590883
664508,0.407072795
759356,0.312538026
668185,0.234383577
672969,0.412314483
699983,0.435976054
662810,0.38058518
707024,0.268458643
663060,0.390594837
739466,0.274573742
759755,0.31518784
669312,0.408994141
663024,0.297599903
658299,0.265945022
670527,0.152857136
658403,0.169682697
708480,0.472969934
683163,0.390386992
656465,0.267280745
686000,0.436380051
662174,0.187711268
748647,0.373518842
658055,0.20870648
748920,0.357233096
765801,0.299774738
762643,0.386653176
657992,0.189655323
658270,0.169771282
685945,0.135735843
739280,0.356877114
674233,0.394257206
769170,0.333058868
662568,0.401237256
668200,0.182559403
663016,0.35776126
676421,0.393863382
665646,0.273508585
668116,0.294778942
761103,0.340210751
662915,0.228438928
661090,0.195564244
733900,0.210193032
723174,0.242020054
760464,0.2184012
761592,0.227224521
742057,0.223953766
759460,0.136260038
764881,0.335320549
656081,0.252535432
675378,0.404746134
738320,0.187482902
765224,0.385816854
657351,0.236847593
694935,0.245076292
721085,0.277154688
658028,0.299443921
659732,0.255417279
675401,0.247467004
726234,0.241029744
733551,0.262873009
761316,0.146146348
688991,0.153983849
665516,0.169004668
708463,0.384239055
741730,0.208555996
726409,0.415690685
719133,0.203495966
685223,0.329121977
719052,0.200754961
694120,0.205978643
755368,0.239709299
741717,0.189489523
