id,Country Name,Country Code,Year,Balance,Inflation,GDP,Exports,Trade
0,Senegal,SEN,1983,-304382939,9.274212856,-5.326392719,618000000,59.2242981
1,Togo,TGO,2009,-176669246.3,1.855274616,3.510296675,903026000,76.24254179
2,Pakistan,PAK,1992,-1876092233,10.0570845,7.705897823,7351000000,34.48943971
3,Nepal,NPL,1988,-271450571.1,11.8153102,7.696808711,190000000,24.97842171
5,Malta,MLT,2016,726913236.3,1.604548164,5.516617154,3017298710,83.78147119
6,Israel,ISR,2006,6883600000,1.992212904,5.210821256,46789400000,63.08043463
7,Nepal,NPL,1990,-289196443.8,10.71588515,4.635036347,204000000,24.14844744
9,Argentina,ARG,2008,5421206329,23.17116498,4.057233103,70018300000,35.25851645
10,Botswana,BWA,2013,1413387526,0.456881699,11.34342425,7910985446,109.0322578
11,Thailand,THA,2011,9426846325,3.743108006,0.839959472,2.23E+11,121.7204856
12,Swaziland,SWZ,2014,928722036.2,5.83946656,1.931010027,2003510647,84.3788606
14,Tanzania,TZA,1993,-894801998.4,24.46198633,1.205800809,450000000,45.72889108
15,"Congo, Rep.",COG,1979,-99355192.9,17.10159787,9.813224739,495620000,65.64064394
16,Fiji,FJI,2008,-526410959.2,1.355986638,1.032794215,921911000,90.42358458
18,Uganda,UGA,2005,49224086.17,-1.741185294,6.332565116,812810000,31.80607587
20,Seychelles,SYC,2007,-194008401.1,11.79983858,10.42143611,360147000,117.9725462
21,"Congo, Rep.",COG,1993,-552686023.3,-1.130828613,-0.979683206,1068000000,85.93150738
23,Burundi,BDI,1996,-40010349.69,14.45311141,-8.000000001,39000000,19.10167237
25,Barbados,BRB,2009,-259620267.7,0.292507275,-4.041023843,378522000,41.22524554
26,Saudi Arabia,SAU,2000,14316800000,10.94798496,5.625416143,77583000000,56.89314407
28,Colombia,COL,1977,375428640,29.16582811,4.148013439,2403400000,21.99891461
30,Kuwait,KWT,1982,4963339383,1.416853637,-12.31483711,10864000000,88.72935269
31,Barbados,BRB,1999,-202470059.3,4.447405054,0.325869862,264000000,45.54989271
32,Grenada,GRD,1998,-81511111.11,1.747440994,11.74299414,35000000,52.70197502
33,Denmark,DNK,1975,-490031786.4,13.355943,-1.456541734,8712250000,47.14226715
34,Estonia,EST,2008,-2216564330,7.49280755,-5.41945589,12457753799,117.7324664
35,Guinea-Bissau,GNB,2015,20941855.29,10.79842051,6.132597124,252261391.5,46.22895514
37,Greece,GRC,1978,-955000000,13.78804579,7.246863393,3367570000,25.29136801
39,Canada,CAN,2001,15759011812,1.658242746,1.770819089,2.6E+11,66.15458689
40,Swaziland,SWZ,1974,42532712.44,10.28894548,5.743486905,177830000,119.3305665
41,Tonga,TON,2004,-17364763.49,5.884896773,-0.351420004,14959000,52.19302919
42,Bolivia,BOL,1997,-553500000,5.705042541,4.954208743,1167000000,38.07878308
43,Antigua and Barbuda,ATG,2006,-291763385.6,0.40826506,12.72850843,74000000,60.34383733
45,El Salvador,SLV,2012,-1279472143,1.015090568,1.881061224,5339100000,65.49702691
46,Tunisia,TUN,2013,-3878661667,3.823296175,2.874754293,17060557095,89.46280741
49,El Salvador,SLV,2007,-1216560000,4.370536969,3.839765177,4014500000,63.84065576
50,Netherlands,NLD,1972,2100762925,8.16162035,3.533874519,19153700000,73.73065123
51,Netherlands,NLD,1991,7466488033,3.117049632,2.439134508,1.34E+11,80.26216717
52,Trinidad and Tobago,TTO,1978,54416666.69,3.164825114,10.01647569,2039630000,112.4743106
54,"Egypt, Arab Rep.",EGY,2008,-1414600000,12.20258847,7.157616776,26223758000,45.82120815
55,Malaysia,MYS,1987,2575369613,7.46574949,5.388645244,17939000000,95.20940248
56,Libya,LBY,1977,2159087462,,,11410900000,
58,St. Vincent and the Grenadines,VCT,1991,-45688888.89,4.827101932,1.135737487,67000000,80.83832335
59,Trinidad and Tobago,TTO,1993,113098311.9,9.67785463,-1.453479678,1662000000,66.92381808
60,Kiribati,KIR,1984,12010328.93,6.73992674,4.838709677,11000000,70.30957447
62,Libya,LBY,1992,1407193323,,,9942000000,44.58789645
63,Namibia,NAM,1990,27557463.72,6.425499879,2.047459978,1085000000,80.1603303
64,Germany,DEU,2016,2.87E+11,1.329210699,1.943625428,1.34E+12,68.81783034
65,Lesotho,LSO,1977,-9199999.992,7.478893625,21.80903496,14030000,128.2264257
66,Maldives,MDV,1988,9042357.726,,,40000000,77.10078357
68,St. Lucia,LCA,2008,-339860354.1,-4.578778397,5.185796412,164022000,63.93301744
69,Panama,PAN,1997,-506700000,1.608839068,6.460990304,723000000,34.88714234
71,Algeria,DZA,1991,2366713357,53.78860417,-1.200000584,12570000000,44.49269752
75,Zambia,ZMB,1997,-182000000,25.40254126,3.814007497,915000000,40.29482677
76,Brazil,BRA,1992,6089000000,968.1842555,-0.46691321,35793000000,14.69323769
77,Saudi Arabia,SAU,1994,-10472800000,1.094949959,0.558720185,42614000000,48.7901279
78,Malaysia,MYS,1992,-2167322023,2.41432265,8.885115936,40772000000,136.2698555
79,Germany,DEU,1978,9277965923,3.545841821,3.008492877,1.42E+11,35.81650179
80,Germany,DEU,2014,2.88E+11,1.794387609,1.92969041,1.49E+12,69.44030153
81,Lao PDR,LAO,1988,-77700000,25.84914866,-2.01020105,63000000,42.74066006
82,Ukraine,UKR,2010,-3016000000,13.41176563,4.200000018,51478000000,82.63097731
83,Guyana,GUY,1985,-96623292.22,14.5100989,2.399667458,206000000,95.26153846
84,Zambia,ZMB,1983,-263000000,18.62934635,-1.966689298,836000000,52.45144934
85,Benin,BEN,2002,-156195168.6,3.553106878,4.644470026,448000000,38.3944249
86,Netherlands,NLD,2009,50018797925,0.399621508,-3.767583537,4.98E+11,109.6873711
90,Costa Rica,CRI,1979,-558200000,9.149968224,4.93912395,934400000,57.76703847
91,Maldives,MDV,1977,0,,,3390000,
92,St. Lucia,LCA,2003,-147549312.2,5.143159261,4.702623387,62000000,56.44319403
93,Germany,DEU,1981,-5304713597,4.175238767,0.529240537,1.76E+11,42.6347497
94,Panama,PAN,2006,-462680000,1.969984645,8.652465799,8033926025,103.6776456
95,Germany,DEU,1986,38661456608,2.999543121,2.287339269,2.43E+11,41.65764936
96,Sweden,SWE,1987,-21284436.82,4.720949208,3.353842968,44506000000,47.2273662
97,Singapore,SGP,1988,1936916904,5.537976237,11.11518875,39306000000,328.2521805
98,Grenada,GRD,2012,-193202811.9,3.927636598,-1.155295176,34604000,46.99079744
99,Niger,NER,2011,-1431058472,4.36609339,2.31140022,1250000000,53.67309744
