ID,default_payment_next_month
10178,0.22131429
5304,0.096535034
5187,0.098622831
14495,0.096134446
20444,0.048819176
17667,0.100954569
21211,0.186602964
7178,0.473266226
20783,0.043857499
24033,0.365103893
754,0.073531343
23732,0.166234658
6072,0.140177491
17662,0.297926817
5541,0.210773281
22697,0.15162195
29905,0.139626539
6695,0.260386517
12664,0.556741824
15392,0.030339366
309,0.705312931
16129,0.046856528
6324,0.104184282
23673,0.322026992
28889,0.111650797
17687,0.102328381
27129,0.139288734
8487,0.083247083
10304,0.255944661
14991,0.230225303
8380,0.129858783
17401,0.210878561
15805,0.091988267
17839,0.199233301
24324,0.309977925
5925,0.604611148
11137,0.117507462
9991,0.059188047
6622,0.623893925
17112,0.358882543
7694,0.277114011
23055,0.190525476
19684,0.162176457
26520,0.44159922
8633,0.504831189
15602,0.134380969
21244,0.075470988
9804,0.241522657
24276,0.072007832
11723,0.058305055
23656,0.231354758
9047,0.10218513
9246,0.115575198
650,0.679035868
4330,0.109147405
27006,0.405148708
6766,0.045205809
14481,0.163276403
18262,0.194967582
22076,0.141093341
24238,0.213502484
12731,0.151086557
2226,0.13077184
17380,0.282670012
22072,0.145773949
27390,0.141898622
19619,0.009191146
12919,0.171767741
6537,0.243071578
24342,0.69231693
772,0.308659712
12966,0.080137872
18832,0.09100762
9347,0.349468711
29171,0.491191198
18604,0.155964056
25368,0.131439649
14414,0.206654772
4515,0.132528609
27668,0.093095484
20039,0.10012669
28604,0.795523003
19283,0.129443906
29592,0.287676909
5952,0.173380358
14746,0.202613067
8135,0.600734599
936,0.181712932
15106,0.190630088
13717,0.32810009
15431,0.154275718
12176,0.054481618
26616,0.533948846
6585,0.117572101
13415,0.140853911
28033,0.730306448
18775,0.065177023
22414,0.339262143
13628,0.446342971
4437,0.417248521
14083,0.191309649
6745,0.369756892
11214,0.190586339
1200,0.190279526
24915,0.025549703
15317,0.63995391
25130,0.090862519
21497,0.028385056
2432,0.423119854
4312,0.306313001
3390,0.557939568
20785,0.055187619
12516,0.189793952
17228,0.122562747
1845,0.198046749
13834,0.195868496
2290,0.171858644
21988,0.140884821
10445,0.258186376
11991,0.153166414
6818,0.091748946
19525,0.055028765
12878,0.215916401
15762,0.157130346
21397,0.135968425
13127,0.069082712
25072,0.63323159
3227,0.076135129
7260,0.111205432
4366,0.088262052
2185,0.157023045
14132,0.18073041
10094,0.157183577
6815,0.130068038
10788,0.146197544
7364,0.116409855
28316,0.072936976
23427,0.681843122
21496,0.096552511
4802,0.666874014
