id,redemption_status
3,65.39978385
4,35.56117415
5,90.33043385
8,26.46065056
10,49.54473972
12,56.18349314
13,9.418783337
16,40.52335322
18,14.97068852
31,78.24459076
36,49.3075341
37,2.723461762
38,46.53860629
40,86.52725816
41,8.141110092
44,43.56946945
47,60.98167896
49,1.995969005
50,52.48990655
53,45.78026831
57,45.90587914
59,7.031425834
60,74.46107268
64,8.829919249
67,5.25081493
68,7.887574285
70,68.51752996
73,41.18219018
76,13.31303716
78,65.47697783
81,50.27382374
87,63.3566916
89,6.048903614
94,24.81286377
96,53.09739113
98,23.25217277
100,8.451852202
105,31.23025298
108,15.06092995
109,7.388768345
111,35.453251
112,53.65773439
114,89.44256306
116,34.8369211
119,72.84332514
120,65.2060926
126,54.03196812
127,4.07602042
128,5.419204757
132,3.041209653
133,70.76240778
138,16.24467671
140,51.63085461
143,11.25045791
145,57.45745301
147,18.67425293
148,4.835379869
149,86.45072579
150,64.45207596
153,3.263866901
157,66.52175188
162,3.062877245
163,4.375823215
166,5.9945032
168,57.99021125
173,61.95448637
174,63.24222684
175,4.16085273
177,81.85148835
178,9.686615318
185,64.09659386
189,72.77343273
190,3.491011262
191,5.170968547
199,58.78728628
201,24.71229434
203,73.75903726
204,51.64508224
210,72.48060703
211,7.189147174
212,76.965487
216,5.612442642
223,13.03070635
226,92.95411706
227,18.45366657
229,46.43759429
232,2.052292414
234,72.27737904
235,37.56019473
236,46.61956429
237,79.05086279
244,21.47590369
245,17.99520552
246,48.4349966
248,3.129912913
249,81.69853091
251,8.350978047
252,67.66449213
253,14.84774351
256,37.69569397
257,14.47628886
258,25.69816709
263,12.59385496
268,4.369046167
271,76.15138292
272,40.35849273
274,6.985807419
276,2.05509793
278,4.475835711
280,19.46779639
281,78.01790833
285,23.4917447
288,42.99842715
289,15.74320197
294,4.356784001
296,65.05029202
297,24.46832806
300,22.91519046
302,24.01937693
303,28.41538787
310,31.65795505
311,60.29949188
312,3.011156432
314,42.54690111
315,37.23093271
319,25.29793084
323,3.141209483
324,12.27008104
327,66.24829173
333,48.02126288
334,4.843080416
338,13.79032582
339,59.54341888
340,16.70617759
341,29.39154506
344,33.81434679
348,40.12387991
349,71.30265236
350,61.31315231
354,33.19662809
358,74.09666777
364,13.33633214
373,1.336821727
375,13.82135004
376,27.53487527
377,55.41753769
379,2.713096328
381,57.5827539
382,69.98270154
388,9.191530198
390,17.48745143
394,8.001150936
396,16.56228602
399,67.25876927
402,4.72101979
405,64.58339691
408,5.64448759
409,44.82920766
414,2.774815448
415,13.97467107
416,48.98477793
422,18.51711869
426,25.98904669
427,2.606884949
429,16.17809534
431,11.55658662
432,43.76019835
433,12.15274334
434,9.367907047
436,4.706293717
437,25.17518401
439,7.424671948
442,64.11776543
443,11.99197918
444,64.41905499
448,58.16165805
451,29.76080477
453,8.824837953
458,18.15797836
459,39.52045441
460,5.936450884
462,70.51467896
464,31.11566901
466,53.52320075
467,11.3748081
471,23.8849923
476,63.75249624
477,76.35509372
480,26.84347928
481,1.880592294
482,59.33895707
489,2.526431531
490,85.89648604
493,22.73100615
498,16.94814861
500,11.57996505
501,29.5766443
509,2.939079143
510,60.84734797
511,22.68034518
512,3.555294126
513,15.99205136
514,28.16257179
520,8.639554679
522,5.449579656
524,7.245849818
527,19.21534985
537,66.73441529
540,33.50495696
542,9.006875753
544,14.93201703
547,16.13590717
550,3.177952394
551,4.099345952
552,19.09500062
553,6.725381315
556,70.45994997
559,5.965667963
562,82.87768364
565,3.222512081
568,7.177841663
573,52.12388039
574,69.82266903
578,34.39724147
580,39.78366256
581,81.19395375
582,8.940906823
583,9.742815048
585,20.12254894
586,5.603146553
587,37.17307448
588,17.20302999
593,27.44393051
595,39.92057443
597,71.53794169
600,36.38613522
602,50.08478165
604,41.50749445
605,9.615938365
606,25.93133152
608,7.982578129
610,30.65108657
611,7.969217747
614,11.24147475
616,45.77535391
619,37.12742329
622,60.55734158
624,20.36817223
625,28.27808857
627,37.83408105
629,83.54592919
630,1.67591311
631,37.5125885
632,79.83447313
633,77.51482725
636,25.21269321
637,35.71885824
645,63.07735443
652,32.6536715
653,6.597855687
655,60.84823608
658,58.71703625
663,37.89362013
668,80.42794466
669,76.16113424
670,28.00569236
674,8.683510125
675,23.77040982
676,89.76655006
679,54.38163877
685,76.44445896
688,32.2499156
690,4.358963296
691,18.08783114
692,3.720533475
696,11.65784672
697,22.19221592
700,26.12140477
702,24.54543114
703,14.94698375
707,4.246526584
709,22.49769866
713,12.14919388
716,51.59695148
717,31.73803687
720,14.19578344
725,63.77877593
726,1.922617853
727,40.88315964
728,55.15263081
729,36.0180825
730,42.87816882
734,31.92635775
737,9.349099547
738,54.32290435
739,34.77654457
744,82.70673156
745,6.335437298
747,2.364937216
749,16.71304256
752,4.371697828
753,11.59378737
755,10.22651047
756,20.43019086
757,35.22825241
758,9.081698954
761,49.30506647
763,57.7881217
766,15.0830552
768,4.777581245
770,7.036165148
772,5.556641147
781,16.55748785
783,56.15025759
786,55.81182837
788,62.88244128
790,52.77688503
791,24.02649373
793,2.943389677
797,74.00826216
798,78.96934748
801,14.00303543
802,9.93200466
804,2.850317582
805,73.82483482
807,66.45199656
808,22.13686258
811,75.79010129
818,67.27116704
822,2.407368831
827,7.661093771
828,13.90906572
834,67.35303402
837,35.60909331
839,45.39897442
844,8.80080983
845,85.93372703
849,76.76636577
864,68.33682656
865,19.63997632
866,79.28190827
871,34.35752988
876,56.03545308
877,43.58800352
887,22.73566872
889,15.81001133
890,7.34590292
891,6.300710887
895,23.50033969
896,5.487985909
898,11.94167882
900,4.039089754
903,17.88641363
905,5.012684315
908,21.41633332
914,38.61217499
917,23.03506136
918,39.01020586
919,28.1211108
920,2.404284291
921,7.955019921
926,78.95428538
927,26.23881996
928,85.09187698
929,82.013309
931,35.02491117
934,6.699122488
937,32.2999537
938,24.71187711
939,70.28226852
941,64.89233971
943,37.3986423
947,85.95449924
950,51.58447027
952,19.41602975
954,15.56282789
958,10.92079729
960,2.938826196
961,32.12548792
964,76.39787793
971,94.6998477
972,34.46198404
976,78.11614275
980,4.564698786
984,4.161974788
986,18.58373284
989,24.78984594
992,69.19928789
995,42.00547636
997,5.210791901
1000,19.57830936
1005,1.944973134
1006,20.01324147
1014,24.86981302
1015,3.716768697
1021,6.130831689
1022,42.66643226
1023,69.96359825
1025,50.00908971
1027,36.0311687
1028,5.640560389
1029,78.83288264
1033,2.913946286
1034,71.28881812
1037,28.5835892
1040,22.0722869
1044,7.130517066
1045,13.42632174
1049,69.86879706
1051,27.77324915
1053,24.70265031
1054,34.75371301
1055,44.28353012
1056,9.302979708
1057,46.66031897
1058,62.02402115
1060,40.69343507
1061,68.5731113
1067,9.944441915
1069,3.84687148
1073,8.493255824
1075,14.43606913
1080,6.092818454
1081,52.2505939
1087,70.65890431
1090,67.68164635
1092,64.65595365
1099,5.308722332
1101,7.740997523
1105,4.022443667
1107,19.03360188
1111,52.38319039
1113,46.48093283
